ID,Name,Location,Community,Function,Roof Type,Storeys,Building Height,Ground Surface Area
DEBY_LOD2_59772,DEBYvAAAAABTy70E,1000,09162000,31001_9998,1000,3,11.715,49.348
DEBY_LOD2_59774,DEBYvAAAAABTy8fM,1000,09162000,31001_9998,3100,5,22.568,107.538
DEBY_LOD2_59776,DEBYvAAAAABTy9bW,1000,09162000,31001_9998,2100,,20.836,20.147
DEBY_LOD2_59777,DEBYvAAAAABTy9tL,1000,09162000,31001_9998,3100,1,9.82,213.863
DEBY_LOD2_59778,DEBYvAAAAABTy9yw,1000,09162000,31001_9998,1000,6,23.169,127.582
DEBY_LOD2_59779,DEBYvAAAAABTy9AR,1000,09162000,31001_3071,1000,3,15.55,76.496
DEBY_LOD2_59780,DEBYvAAAAABTy9vc,1000,09162000,31001_9998,1000,,10.37,21.670
DEBY_LOD2_59781,DEBYvAAAAABTy9QV,1000,09162000,31001_9998,3100,6,26.01,269.184
DEBY_LOD2_59782,DEBYvAAAAABTy9EQ,1000,09162000,31001_9998,1000,,25.215,249.324
DEBY_LOD2_59783,DEBYvAAAAABTy9H6,1000,09162000,31001_9998,1000,1,11.18,61.671
DEBY_LOD2_59784,DEBYvAAAAABTzGBm,1000,09162000,31001_9998,3200,7,23.555,209.427
DEBY_LOD2_59785,DEBYvAAAAABTzFqX,1000,09162000,31001_9998,1000,1,4.32,168.093
DEBY_LOD2_59786,DEBYvAAAAABTzFfv,1000,09162000,31001_9998,3100,6,22.948,313.236
DEBY_LOD2_59788,DEBYvAAAAABTzFJ5,1000,09162000,31001_9998,2100,4,18.4,177.277
DEBY_LOD2_59790,DEBYvAAAAABTzGgG,1000,09162000,31001_3041,3100,1,24.688,380.810
DEBY_LOD2_59792,DEBYvAAAAABTzFGA,1000,09162000,31001_9998,3100,4,20.75,274.662
DEBY_LOD2_59793,DEBYvAAAAABTzFHE,1000,09162000,31001_9998,1000,5,19.475,27.937
DEBY_LOD2_59795,DEBYvAAAAABTMkLJ,1000,09162000,31001_2000,1000,,15.26,122.072
DEBY_LOD2_59796,DEBYvAAAAABTzCMT,1000,09162000,31001_9998,1000,1,16.126,147.531
DEBY_LOD2_59799,DEBYvAAAAABTzAtm,1000,09162000,31001_9998,3100,5,26.9,312.926
DEBY_LOD2_59802,DEBYvAAAAABTyuOM,1000,09162000,31001_2000,1000,,3.75,70.387
DEBY_LOD2_59803,DEBYvAAAAABTyuSs,1000,09162000,31001_9998,1000,,25.145,41.671
DEBY_LOD2_59804,DEBYvAAAAABTyuTP,1000,09162000,31001_9998,3100,4,20.873,149.673
DEBY_LOD2_59806,DEBYvAAAAABTyu5X,1000,09162000,31001_9998,1000,1,21.555,536.448
DEBY_LOD2_59807,DEBYvAAAAABTyvJ9,1000,09162000,31001_9998,1000,3,12.168,40.279
DEBY_LOD2_59808,DEBYvAAAAABTyvjv,1000,09162000,31001_9998,3100,5,19.758,71.465
DEBY_LOD2_59809,DEBYvAAAAABTyv2Z,1000,09162000,31001_9998,1000,3,17.591,49.893
DEBY_LOD2_59810,DEBYvAAAAABTyvRI,1000,09162000,31001_2463,1000,1,2.795,33.421
DEBY_LOD2_59811,DEBYvAAAAABTyvyr,1000,09162000,31001_9998,1000,5,21.628,30.350
DEBY_LOD2_59812,DEBYvAAAAABTzIbC,1000,09162000,31001_9998,3100,6,23.682,185.692
DEBY_LOD2_59813,DEBYvAAAAABTzIsF,1000,09162000,31001_9998,2100,3,17.176,65.375
DEBY_LOD2_59814,DEBYvAAAAABTzHLH,1000,09162000,31001_9998,3100,6,23.458,215.871
DEBY_LOD2_59815,DEBYvAAAAABTzHIV,1000,09162000,31001_9998,1000,,9.912,79.299
DEBY_LOD2_59816,DEBYvAAAAABTzHC1,1000,09162000,31001_9998,3200,6,26.64,704.727
DEBY_LOD2_59817,DEBYvAAAAABTzHe2,1000,09162000,31001_9998,2100,5,21.198,38.374
DEBY_LOD2_59818,DEBYvAAAAABTzHZ4,1000,09162000,31001_9998,3100,7,23.969,57.901
DEBY_LOD2_59821,DEBYvAAAAABTzHaD,1000,09162000,31001_9998,1000,,4.02,15.180
DEBY_LOD2_59822,DEBYvAAAAABTzIA6,1000,09162000,31001_1000,3100,6,23.887,411.128
DEBY_LOD2_59823,DEBYvAAAAABTzJC7,1000,09162000,31001_1000,3200,4,19.452,195.128
DEBY_LOD2_59824,DEBYvAAAAABTzJIO,1000,09162000,31001_9998,9999,1,4.515,129.090
DEBY_LOD2_59825,DEBYvAAAAABTy19P,1000,09162000,31001_9998,3100,5,22.48,210.795
DEBY_LOD2_59826,DEBYvAAAAABTy2Uy,1000,09162000,31001_9998,2100,4,19.174,47.780
DEBY_LOD2_59827,DEBYvAAAAABTy1qh,1000,09162000,31001_9998,3100,6,27.113,60.142
DEBY_LOD2_59828,DEBYvAAAAABTy1SU,1000,09162000,31001_9998,1000,2,8.506,542.615
DEBY_LOD2_59829,DEBYvAAAAABTy1bq,1000,09162000,31001_9998,2100,3,17.818,267.012
DEBY_LOD2_59830,DEBYvAAAAABTy6Ud,1000,09162000,31001_2000,3100,,12.883,20.053
DEBY_LOD2_59831,DEBYvAAAAABrzG0K,1000,09162000,31001_1000,3200,3,15.994,183.024
DEBY_LOD2_59832,DEBYvAAAAABTy6tZ,1000,09162000,31001_9998,3200,6,21.69,323.672
DEBY_LOD2_59833,DEBYvAAAAABTy6uj,1000,09162000,31001_9998,1000,,19.714,12.394
DEBY_LOD2_59835,DEBYvAAAAABTy5XC,1000,09162000,31001_9998,3100,4,19.874,88.915
